CustomerID,OrderID,OrderDate,Category,Quantity,UnitPrice,TotalAmount,City,PaymentMode
CUST-0001,ORD-798411,2024-02-12,Books,4,156.41,169.23,Bangalore,Debit Card
CUST-0001,ORD-882475,2024-01-22,Beauty,2,78.21,191.71,Pune,Net Banking
CUST-0002,ORD-825059,2024-09-09,Clothing,5,156.44,746.82,Pune,Debit Card
CUST-0002,ORD-199604,2024-08-28,Electronics,5,625.78,511.65,Bangalore,Net Banking
CUST-0002,ORD-101408,2024-08-20,Home & Kitchen,4,156.44,538.92,Bangalore,UPI
CUST-0002,ORD-336976,2024-08-10,Home & Kitchen,5,312.89,607.7,Chennai,UPI
CUST-0002,ORD-724391,2024-07-03,Clothing,5,208.59,806.24,Bangalore,Credit Card
CUST-0003,ORD-994231,2024-12-26,Electronics,4,140.28,530.96,Hyderabad,UPI
CUST-0004,ORD-809164,2024-12-27,Beauty,2,897.13,3211.71,Chennai,Debit Card
CUST-0004,ORD-197965,2024-12-05,Home & Kitchen,4,672.85,2862.1,Pune,COD
CUST-0004,ORD-744793,2024-12-09,Electronics,2,897.13,2469.01,Pune,Net Banking
CUST-0004,ORD-123369,2024-10-28,Sports,2,2691.38,2889.19,Bangalore,UPI
CUST-0004,ORD-554536,2024-11-09,Home & Kitchen,2,2691.38,2830.9,Delhi,Debit Card
CUST-0004,ORD-203659,2024-09-08,Home & Kitchen,3,897.13,2927.57,Bangalore,UPI
CUST-0004,ORD-900001,2024-11-09,Beauty,3,2691.38,2264.33,Chennai,Debit Card
CUST-0004,ORD-389688,2024-08-02,Electronics,5,1345.69,2927.5,Mumbai,Net Banking
CUST-0004,ORD-850249,2024-08-13,Home & Kitchen,2,1345.69,2592.52,Hyderabad,UPI
CUST-0004,ORD-302712,2024-11-03,Sports,3,2691.38,2144.42,Mumbai,UPI
CUST-0004,ORD-292831,2024-09-18,Sports,3,1345.69,2217.85,Bangalore,Credit Card
CUST-0004,ORD-477937,2024-08-28,Home & Kitchen,5,1345.69,3417.98,Pune,UPI
CUST-0004,ORD-448683,2024-05-13,Sports,2,1345.69,3326.29,Bangalore,UPI
CUST-0004,ORD-364728,2024-09-01,Clothing,4,2691.38,2720.96,Delhi,Debit Card
CUST-0004,ORD-440267,2024-10-18,Home & Kitchen,1,1345.69,3428.91,Pune,Debit Card
CUST-0004,ORD-534040,2024-07-15,Books,5,1345.69,2372.01,Delhi,UPI
CUST-0004,ORD-131820,2024-06-02,Clothing,1,1345.69,3344.8,Mumbai,UPI
CUST-0004,ORD-385656,2023-12-02,Electronics,3,672.85,2735.81,Bangalore,UPI
CUST-0004,ORD-335172,2024-07-18,Electronics,5,2691.38,2857.79,Pune,Debit Card
CUST-0004,ORD-155321,2024-06-20,Sports,1,672.85,2061.64,Mumbai,UPI
CUST-0004,ORD-205159,2024-08-29,Clothing,1,672.85,2936.98,Mumbai,UPI
CUST-0004,ORD-746869,2024-01-26,Home & Kitchen,5,897.13,1909.55,Chennai,COD
CUST-0005,ORD-801678,2024-12-10,Books,2,82.81,207.52,Hyderabad,UPI
CUST-0006,ORD-251567,2024-08-14,Beauty,4,337.42,382.43,Delhi,Debit Card
CUST-0006,ORD-588945,2024-08-03,Books,5,84.35,242.36,Pune,UPI
CUST-0006,ORD-329653,2024-07-21,Sports,4,84.35,438.09,Pune,UPI
CUST-0007,ORD-866262,2024-12-10,Clothing,1,199.94,727.78,Chennai,Debit Card
CUST-0007,ORD-896492,2024-11-16,Clothing,3,599.83,568.36,Hyderabad,UPI
